doc_id,title,feed,rank,rec_id,rec_title,rec_feed,cosine,same_topic
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,4,58,Electron 41.1.1 发布,开源中国,0.1923,0
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,5,177,最新研究发现人类语言越来越平庸化 AI正在反向教人类说话,CNBeta,0.1765,1
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,1,176,HBM难以生产 内存货将持续5年,CNBeta,0.9219,0
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,2,196,三星无惧“内存崩盘”恐慌：一季度价格翻倍后二季度再调涨三成,CNBeta,0.8176,1
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,3,83,树莓派 4 3GB 版发布，受内存影响价格再次上涨,开源中国,0.5364,0
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,4,173,经典续命！Windows 7 最终“究极整合版” 2026.1 镜像 (集成至今全部更新补丁),异次元软件世界,0.2433,0
3,Ubuntu 26.04 LTS 的最低内存需求提高到 6GB,Solidot,5,151,Windows 11 26H1 最新官方正式版 ISO 镜像下载 (微软 MSDN 原版系统 / 网盘 BT 地址),异次元软件世界,0.2376,0
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,1,195,地质学家捕捉到地核边缘的神秘“流动”信号,CNBeta,0.4647,1
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,2,11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,0.3964,0
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,3,14,雄章鱼交接腕兼具感觉和交配功能,Solidot,0.3672,0
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,4,62,前 2 个月我国规上互联网企业完成互联网业务收入 3179 亿元,开源中国,0.2899,0
4,蟒蛇之血含有无副作用的减肥化合物,Solidot,5,212,前任天堂销售主管分析NS2价格必然会遭遇上涨的原因,CNBeta,0.246,0
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,1,191,Meta拟贷款30亿美元建设AI数据中心,CNBeta,0.7925,0
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,2,186,伊朗威胁要炸掉300亿美元OpenAI星际之门AI数据中心,CNBeta,0.582,1
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,3,112,韩国计划将可再生能源发电占比提升至20%,36氪,0.4723,0
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,4,114,媒体：全球最大的电池制造商宁德时代将雄心拓展至远洋 计划今年将其海洋事业部规模扩大一倍,36氪,0.2984,0
5,美国近半数计划中的数据中心项目推迟或取消,Solidot,5,105,全球海拔最高的槽式光热电站在西藏开工建设,36氪,0.1986,0
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,1,77,CrateDB 6.2.4 发布，分布式 SQL 数据库,开源中国,0.6857,0
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,2,99,元气森林2044创造营背后：创新要年轻，研发要更重 | 最前线,36氪,0.306,0
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,3,140,千人千面，告别AI标准脸，阿里发布Wan2.7-Image,雷锋网,0.3005,0
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,4,192,如果有一天周杰伦用AI写歌，你还会听吗？,CNBeta,0.2754,0
6,律师滥用 AI 生成虚假案例的事件激增,Solidot,5,110,现货黄金突破4680美元/盎司,36氪,0.271,1
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,1,2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,0.5521,0
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,2,175,Linus确认Linux 7.0 稳定版下周发布,CNBeta,0.5411,0
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,3,105,全球海拔最高的槽式光热电站在西藏开工建设,36氪,0.3673,0
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,4,183,10-3横扫世界第一 赵心童创历史包揽三冠 夺得斯诺克巡回锦标赛冠军,CNBeta,0.346,0
7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,5,42,为了将网页变为应用程序，我们付出了多少努力？（一）,少数派,0.3326,1
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,1,213,微软在使用条款中强调Copilot“仅供娱乐” 并不适合重要用途,CNBeta,0.9326,0
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,2,96,高端智能投影品牌AWOL Vision获近亿元B轮融资，新品拿下近2000万美金众筹｜硬氪首发,36氪,0.3776,0
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,3,81,Visual Studio Code 1.114 发布,开源中国,0.3376,0
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,4,197,欧洲开源办公套件“Euro-Office”登场 被视为针对微软Office的又一方案,CNBeta,0.248,0
8,微软更新服务条款声明 Copilot 仅供娱乐,Solidot,5,142,科技爱好者周刊（第 391 期）：AI 的贫富分化,阮一峰的网络日志,0.2111,0
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,1,188,闲鱼大幅度提高专业卖家平台费率 销售智能手机费率从0.6%上涨到1.6%,CNBeta,0.5122,1
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,2,87,HarfBuzz 14.0 发布,开源中国,0.4739,1
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,3,50,XXL-JOB v3.4.0 发布 | OpenClaw 集成、合并调度、健壮性及体验增强,开源中国,0.4351,1
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,4,112,韩国计划将可再生能源发电占比提升至20%,36氪,0.4144,0
9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,5,84,阶跃星辰发布最新模型 Step 3.5 Flash 2603，提升推理效率与灵活性,开源中国,0.3282,0
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,1,42,为了将网页变为应用程序，我们付出了多少努力？（一）,少数派,0.6501,1
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,2,183,10-3横扫世界第一 赵心童创历史包揽三冠 夺得斯诺克巡回锦标赛冠军,CNBeta,0.4767,0
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,3,100,一款运营三年的模拟经营游戏，是如何活力依旧的？,36氪,0.3499,0
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,4,206,"印尼游戏评级惹众怒 成人游戏评""3+"" 国际名作被禁发",CNBeta,0.346,0
10,考古学家在北美发现距今至少 1.2 万年的骰子,Solidot,5,190,Gamestop曾坚信游戏数字发行渠道只不过是昙花一现,CNBeta,0.3254,0
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,1,177,最新研究发现人类语言越来越平庸化 AI正在反向教人类说话,CNBeta,0.7427,1
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,2,4,蟒蛇之血含有无副作用的减肥化合物,Solidot,0.3964,0
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,3,195,地质学家捕捉到地核边缘的神秘“流动”信号,CNBeta,0.3209,0
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,4,19,我的同事被炼化成 Skill 了,爱范儿,0.2055,0
11,人们日常说话的单词量比上一年减少 300 个单词,Solidot,5,12,AO3 结束公测,Solidot,0.2052,0
12,AO3 结束公测,Solidot,1,120,红果短剧：针对近期AI短剧素材违规使用问题频发的情况，已处置作品670部,36氪,0.6611,0
12,AO3 结束公测,Solidot,2,41,本周看什么 | 最近值得一看的 9 部作品,少数派,0.4604,0
12,AO3 结束公测,Solidot,3,33,获得 B 站 AI 创作大赛一等奖的 UP 主说，AI 对创意没有任何帮助，但价值在别处,爱范儿,0.2971,1
12,AO3 结束公测,Solidot,4,102,阅文“AI拟真人大讲堂”：好故事才是AI时代的未来,36氪,0.2246,0
12,AO3 结束公测,Solidot,5,84,阶跃星辰发布最新模型 Step 3.5 Flash 2603，提升推理效率与灵活性,开源中国,0.2188,0
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,1,75,AIGC For Future 全球挑战赛正式启幕，OSChina 邀您直通日内瓦,开源中国,0.7256,0
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,2,132,沙利文：阿里云位居中国金融智能体市场第一,雷锋网,0.4231,1
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,3,105,全球海拔最高的槽式光热电站在西藏开工建设,36氪,0.3417,0
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,4,9,可再生能源新增装机容量占全球新增装机容量的八成以上,Solidot,0.2726,0
13,最富 0.1% 人口的离岸财富超过最穷半数人口的财富总和,Solidot,5,114,媒体：全球最大的电池制造商宁德时代将雄心拓展至远洋 计划今年将其海洋事业部规模扩大一倍,36氪,0.2424,0
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,1,216,动车组车顶为何一直闪光？原来是一对“火眼金睛”,CNBeta,0.4539,0
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,2,4,蟒蛇之血含有无副作用的减肥化合物,Solidot,0.3672,0
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,3,1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,0.3233,0
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,4,219,受原材料价格影响 家用电器最高涨30%,CNBeta,0.2529,0
14,雄章鱼交接腕兼具感觉和交配功能,Solidot,5,121,清明假期迎返程高峰 三天假期跨区域人员流动量预计达8.4亿人次,36氪,0.1922,0
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,1,17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,0.9081,0
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,2,181,NASA发布绕月任务中用iPhone 17 Pro Max拍摄的月球之旅照片,CNBeta,0.8785,0
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,3,187,阿尔忒弥斯2号飞过“地月中点”：将从6500公里外掠过月球,CNBeta,0.67,0
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,4,36,早报｜国内五大手机厂商全线涨价/奇瑞宣布放1天春假，但要用年假来换/广州早茶新规：茶位费必须配茶、传统点心须24小时现制,爱范儿,0.1578,1
15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,5,216,动车组车顶为何一直闪光？原来是一对“火眼金睛”,CNBeta,0.1551,0
16,Google 发布开放权重模型 Gemma 4,Solidot,1,73,Google DeepMind 开源 Gemma 4,开源中国,0.947,1
16,Google 发布开放权重模型 Gemma 4,Solidot,2,27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,0.9147,1
16,Google 发布开放权重模型 Gemma 4,Solidot,3,59,谷歌：没人比我更懂 “不作恶”,开源中国,0.7783,1
16,Google 发布开放权重模型 Gemma 4,Solidot,4,44,派早报：Google 发布 Gemma 4 开源系列模型、智谱发布 GLM-5V-Turbo 多模态模型等,少数派,0.679,1
16,Google 发布开放权重模型 Gemma 4,Solidot,5,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.3123,1
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,1,15,Artemis II 的厕所是月球任务的一大里程碑,Solidot,0.9081,0
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,2,181,NASA发布绕月任务中用iPhone 17 Pro Max拍摄的月球之旅照片,CNBeta,0.7866,0
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,3,187,阿尔忒弥斯2号飞过“地月中点”：将从6500公里外掠过月球,CNBeta,0.6547,0
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,4,118,OpenAI状态页显示：ChatGPT 网页版当前出现故障,36氪,0.2019,0
17,Artemis II 宇航员发现电脑上有两个 Outlook 但没有一个能用,Solidot,5,56,智能路由如何实现 90% 成本下降？,开源中国,0.1887,0
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,1,21,有线耳机这么好用，不翻红才怪,爱范儿,0.9804,0
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,2,31,AirPods Max 2 体验：降噪更强声音更饱满，稳定更新的小升级,爱范儿,0.9625,0
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,3,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.3255,0
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,4,37,苹果 50 年，什么都被抄走了，除了这一样,爱范儿,0.1625,0
18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,5,52,DockMaster Pro v1.0.0 正式发布,开源中国,0.1535,0
19,我的同事被炼化成 Skill 了,爱范儿,1,134,Skill限速怎么办？OpenClaw官宣和火山引擎共建ClawHub中国镜像站,雷锋网,0.4067,0
19,我的同事被炼化成 Skill 了,爱范儿,2,23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,0.3511,0
19,我的同事被炼化成 Skill 了,爱范儿,3,32,每天烧 120 万亿 Token，这是 AI 圈最新的凡尔赛,爱范儿,0.2949,0
19,我的同事被炼化成 Skill 了,爱范儿,4,33,获得 B 站 AI 创作大赛一等奖的 UP 主说，AI 对创意没有任何帮助，但价值在别处,爱范儿,0.2945,1
19,我的同事被炼化成 Skill 了,爱范儿,5,177,最新研究发现人类语言越来越平庸化 AI正在反向教人类说话,CNBeta,0.2941,0
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,1,25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,0.6864,1
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,2,29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,0.6486,0
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,3,24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,0.5848,0
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,4,137,夏中谱去向悬念落地，「地平线」+「理想汽车」齐聚无界动力,雷锋网,0.4487,0
20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,5,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.3936,0
21,有线耳机这么好用，不翻红才怪,爱范儿,1,18,一款开放式耳机，怎么做到「降噪」的？｜韶音 OpenFit Pro 体验,爱范儿,0.9804,0
21,有线耳机这么好用，不翻红才怪,爱范儿,2,31,AirPods Max 2 体验：降噪更强声音更饱满，稳定更新的小升级,爱范儿,0.9685,1
21,有线耳机这么好用，不翻红才怪,爱范儿,3,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.3427,0
21,有线耳机这么好用，不翻红才怪,爱范儿,4,37,苹果 50 年，什么都被抄走了，除了这一样,爱范儿,0.2209,0
21,有线耳机这么好用，不翻红才怪,爱范儿,5,33,获得 B 站 AI 创作大赛一等奖的 UP 主说，AI 对创意没有任何帮助，但价值在别处,爱范儿,0.0893,0
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,1,34,惹众怒！Anthropic 疯狂删库，他连夜爆改 Claude Code 源码拿下史上最快 10 万星,爱范儿,0.8085,1
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,2,129,35岁大厂人自救：AI裁员潮下，Claude和小龙虾谁能帮我「续命」？,雷锋网,0.6459,0
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,3,152,微信官方推“龙虾” 插件 ClawBot！连接 OpenClaw，秒变 AI 好友,异次元软件世界,0.5255,0
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,4,165,一杯奶茶钱！阿里云“包月”畅用多款 AI 模型！跑 OpenClaw 任务、写代码再也不心疼,异次元软件世界,0.4856,0
22,大翻脸！Anthropic 封杀 OpenClaw，龙虾之父：说服失败,爱范儿,5,57,PhpStorm 2026.1 发布,开源中国,0.4849,1
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,1,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.6189,1
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,2,36,早报｜国内五大手机厂商全线涨价/奇瑞宣布放1天春假，但要用年假来换/广州早茶新规：茶位费必须配茶、传统点心须24小时现制,爱范儿,0.595,0
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,3,26,苹果，Vibe Coding 最严厉的父亲,爱范儿,0.5626,0
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,4,93,科氪 | 荣耀与京东签订战略合作协议 推进AI、机器人、C2M共创合作,36氪,0.5393,0
23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,5,127,GDPS2026 上海市人工智能行业协会与毕马威中国战略合作 共创智能化转型破局之路,雷锋网,0.4149,0
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,1,29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,0.7698,1
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,2,25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,0.6072,0
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,3,20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,0.5848,0
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,4,126,充电宝新国标正式发布，Anker安克率先推出符合新规测试产品,雷锋网,0.3818,0
24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,5,131,一次停滞观全局：自动驾驶安全冗余与产业发展定力,雷锋网,0.3336,0
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,1,20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,0.6864,1
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,2,29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,0.6285,0
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,3,24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,0.6072,0
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,4,96,高端智能投影品牌AWOL Vision获近亿元B轮融资，新品拿下近2000万美金众筹｜硬氪首发,36氪,0.517,1
25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,5,133,对话图达通CEO鲍君威：有摄像头的地方，就是激光雷达的赛道,雷锋网,0.4673,0
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,1,37,苹果 50 年，什么都被抄走了，除了这一样,爱范儿,0.7015,0
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,2,23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,0.5626,0
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,3,115,苹果首款折叠屏手机已在试产,36氪,0.5576,1
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,4,202,官方提醒警惕苹果iMessage诈骗,CNBeta,0.4691,0
26,苹果，Vibe Coding 最严厉的父亲,爱范儿,5,47,被咬一口的世界，苹果 50 年的疯狂与奇迹,少数派,0.3637,1
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,1,16,Google 发布开放权重模型 Gemma 4,Solidot,0.9147,1
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,2,73,Google DeepMind 开源 Gemma 4,开源中国,0.8845,1
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,3,59,谷歌：没人比我更懂 “不作恶”,开源中国,0.766,1
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,4,44,派早报：Google 发布 Gemma 4 开源系列模型、智谱发布 GLM-5V-Turbo 多模态模型等,少数派,0.6345,1
27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,5,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.476,1
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,1,36,早报｜国内五大手机厂商全线涨价/奇瑞宣布放1天春假，但要用年假来换/广州早茶新规：茶位费必须配茶、传统点心须24小时现制,爱范儿,0.6457,0
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,2,23,早报｜Slack粗暴切断大中华区服务引发用户不满/小米手机涨价，卢伟冰：内存涨价远超预期/三大外卖平台被约谈，6月落实食品安全新规,爱范儿,0.6189,1
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,3,32,每天烧 120 万亿 Token，这是 AI 圈最新的凡尔赛,爱范儿,0.527,0
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,4,44,派早报：Google 发布 Gemma 4 开源系列模型、智谱发布 GLM-5V-Turbo 多模态模型等,少数派,0.4844,1
28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,5,27,以小小小小胜大！Google 最强小模型刚刚发布，手机也能跑,爱范儿,0.476,1
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,1,24,11.19 万起售！纯电续航最长的插混比亚迪出现了,爱范儿,0.7698,1
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,2,20,燃油不死，荣光仍在！福特 GT Mk IV 纽北圈速超越小米，来到第三,爱范儿,0.6486,0
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,3,25,对话 FREELANDER 神行者 CEO 文飞：我不希望大家买我们的车去拔河、涮泥锅,爱范儿,0.6285,0
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,4,137,夏中谱去向悬念落地，「地平线」+「理想汽车」齐聚无界动力,雷锋网,0.5011,0
29,11.98 万起，占了同级一半销量的小鹏 MONA M03，又加上了「图灵芯片」和「越级座舱」,爱范儿,5,128,引入LPU的英伟达，是在补强，还是在拆自己的护城河？｜GTC观察,雷锋网,0.3186,0
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,1,54,微语 1.8.0 发布 - 开源智能客服,开源中国,0.3595,1
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,2,170,腾讯视频 SVIP 超级会员年卡优惠，新年好价！(支持 TV 电视端),异次元软件世界,0.346,0
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,3,78,腾讯就 WorkBuddy 登录异常致歉：将向所有受影响国内用户补偿 1000 Credits,开源中国,0.3162,0
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,4,33,获得 B 站 AI 创作大赛一等奖的 UP 主说，AI 对创意没有任何帮助，但价值在别处,爱范儿,0.2778,0
30,腾讯会议这波 AI 功能，让我彻底戒掉了整理焦虑,爱范儿,5,145,Quicker - 让效率起飞的 Windows “超级外挂” (快速启动 / 快捷指令 / 鼠标增强),异次元软件世界,0.2761,0
31,AirPods Max 2 体验：降噪更强声音更饱满，稳定更新的小升级,爱范儿,1,21,有线耳机这么好用，不翻红才怪,爱范儿,0.9685,1
